customer_id,lon,lat,initial_inventory,min_inventory,tank_capacity,lead_time_days,service_time_h,holding_cost_vnd,time_window_start_h,time_window_end_h,demand_day0,demand_day1,demand_day2,demand_day3,demand_day4,demand_day5,demand_day6
0,105.86789,21.001234,47.0,23.0,141.0,18.0,0.25,387.0,14.0,18.0,15.0,14.0,11.0,15.0,29.0,15.0,20.0
1,105.864567,21.003456,120.0,44.0,255.0,18.0,0.25,463.0,14.0,18.0,28.0,19.0,36.0,23.0,20.0,20.0,18.0
2,105.872345,20.998901,54.0,29.0,147.0,18.0,0.25,379.0,14.0,18.0,20.0,14.0,16.0,17.0,19.0,9.0,22.0
3,105.878901,21.002345,80.0,37.0,193.0,18.0,0.25,124.0,14.0,18.0,38.0,24.0,35.0,18.0,24.0,18.0,31.0
4,105.848901,21.005678,110.0,31.0,204.0,12.0,0.25,178.0,8.0,12.0,24.0,27.0,28.0,20.0,31.0,33.0,20.0
5,105.845678,20.993456,114.0,24.0,199.0,18.0,0.25,170.0,14.0,18.0,35.0,26.0,30.0,15.0,23.0,35.0,34.0
6,105.84789,21.013456,32.0,10.0,80.0,18.0,0.25,274.0,14.0,18.0,6.0,8.0,8.0,6.0,6.0,5.0,10.0
7,105.843456,20.982345,57.0,30.0,164.0,18.0,0.25,178.0,14.0,18.0,22.0,16.0,11.0,17.0,19.0,19.0,12.0
8,105.838901,21.008901,71.0,17.0,143.0,18.0,0.25,200.0,14.0,18.0,12.0,13.0,28.0,12.0,17.0,15.0,23.0
9,105.836789,20.984567,98.0,31.0,261.0,18.0,0.25,188.0,14.0,18.0,30.0,38.0,29.0,21.0,16.0,30.0,40.0
10,105.846789,21.025678,139.0,30.0,245.0,18.0,0.25,305.0,14.0,18.0,18.0,21.0,24.0,25.0,13.0,14.0,24.0
11,105.836789,20.974567,61.0,29.0,173.0,18.0,0.25,171.0,14.0,18.0,18.0,25.0,27.0,15.0,25.0,20.0,19.0
12,105.828901,21.005678,55.0,20.0,130.0,12.0,0.25,134.0,8.0,12.0,13.0,19.0,21.0,19.0,22.0,23.0,10.0
13,105.823456,20.99789,125.0,51.0,282.0,18.0,0.25,165.0,14.0,18.0,30.0,29.0,22.0,25.0,19.0,24.0,22.0
14,105.826789,21.01789,92.0,32.0,271.0,18.0,0.25,181.0,14.0,18.0,53.0,42.0,44.0,49.0,24.0,28.0,29.0
15,105.839012,21.032345,37.0,16.0,80.0,18.0,0.25,157.0,14.0,18.0,2.0,5.0,6.0,7.0,5.0,4.0,6.0
16,105.835678,21.030123,29.0,11.0,80.0,18.0,0.25,352.0,14.0,18.0,4.0,7.0,7.0,6.0,7.0,10.0,5.0
17,105.82789,21.025678,132.0,36.0,248.0,18.0,0.25,323.0,14.0,18.0,26.0,33.0,14.0,31.0,25.0,28.0,38.0
18,105.830123,21.028901,73.0,20.0,158.0,18.0,0.25,169.0,14.0,18.0,21.0,21.0,13.0,16.0,14.0,16.0,18.0
19,105.812345,21.015678,45.0,12.0,91.0,18.0,0.25,494.0,14.0,18.0,8.0,14.0,9.0,7.0,9.0,10.0,9.0
20,105.818901,21.038901,73.0,37.0,229.0,18.0,0.25,442.0,14.0,18.0,16.0,37.0,22.0,22.0,27.0,17.0,25.0
21,105.81789,21.016789,80.0,19.0,136.0,18.0,0.25,422.0,14.0,18.0,11.0,9.0,17.0,14.0,19.0,15.0,21.0
22,105.816789,21.028901,41.0,12.0,113.0,18.0,0.25,420.0,14.0,18.0,17.0,8.0,19.0,9.0,15.0,10.0,16.0
23,105.839012,21.056789,66.0,19.0,171.0,18.0,0.25,272.0,14.0,18.0,22.0,30.0,17.0,32.0,21.0,21.0,18.0
24,105.808901,21.033456,33.0,9.0,80.0,18.0,0.25,231.0,14.0,18.0,7.0,6.0,10.0,5.0,10.0,5.0,8.0
25,105.804567,21.035678,90.0,36.0,208.0,18.0,0.25,200.0,14.0,18.0,32.0,42.0,25.0,29.0,24.0,28.0,17.0
26,105.801234,21.034567,61.0,27.0,142.0,18.0,0.25,160.0,14.0,18.0,13.0,33.0,15.0,14.0,21.0,12.0,20.0
27,105.801234,21.035678,33.0,15.0,106.0,18.0,0.25,209.0,14.0,18.0,11.0,14.0,12.0,19.0,22.0,22.0,11.0
28,105.798901,21.033456,34.0,12.0,80.0,12.0,0.25,164.0,8.0,12.0,6.0,6.0,5.0,5.0,7.0,7.0,5.0
29,105.788901,20.978901,73.0,26.0,208.0,18.0,0.25,465.0,14.0,18.0,20.0,23.0,26.0,42.0,24.0,13.0,17.0
30,105.792345,21.025678,46.0,19.0,112.0,18.0,0.25,442.0,14.0,18.0,13.0,17.0,14.0,12.0,22.0,12.0,14.0
31,105.794567,21.031234,79.0,29.0,156.0,18.0,0.25,481.0,14.0,18.0,14.0,17.0,23.0,14.0,18.0,23.0,15.0
32,105.798901,21.041234,139.0,53.0,276.0,12.0,0.25,210.0,8.0,12.0,26.0,24.0,26.0,27.0,19.0,27.0,19.0
33,105.792345,21.030123,26.0,10.0,80.0,18.0,0.25,256.0,14.0,18.0,8.0,9.0,7.0,13.0,8.0,8.0,11.0
34,105.790123,21.028901,59.0,35.0,180.0,18.0,0.25,120.0,14.0,18.0,22.0,18.0,24.0,26.0,29.0,13.0,12.0
35,105.821234,21.066789,91.0,32.0,194.0,18.0,0.25,352.0,14.0,18.0,37.0,15.0,26.0,14.0,29.0,29.0,26.0
36,105.784567,20.975678,29.0,15.0,85.0,18.0,0.25,405.0,14.0,18.0,11.0,10.0,16.0,11.0,8.0,9.0,12.0
37,105.782345,21.011234,109.0,30.0,206.0,12.0,0.25,182.0,8.0,12.0,19.0,13.0,20.0,20.0,25.0,20.0,20.0
38,105.778901,20.982345,64.0,23.0,141.0,18.0,0.25,473.0,14.0,18.0,13.0,14.0,17.0,11.0,14.0,17.0,17.0
39,105.785678,21.041234,123.0,39.0,258.0,18.0,0.25,182.0,14.0,18.0,22.0,39.0,38.0,36.0,22.0,20.0,31.0
40,105.773456,20.965678,104.0,34.0,206.0,18.0,0.25,351.0,14.0,18.0,26.0,18.0,14.0,18.0,23.0,32.0,22.0
41,105.770123,21.028901,70.0,25.0,140.0,12.0,0.25,211.0,8.0,12.0,32.0,20.0,22.0,23.0,19.0,19.0,13.0
42,105.762345,20.971234,93.0,20.0,177.0,18.0,0.25,317.0,14.0,18.0,22.0,21.0,20.0,25.0,35.0,26.0,23.0
43,105.775678,21.062345,68.0,27.0,144.0,18.0,0.25,463.0,14.0,18.0,26.0,19.0,22.0,20.0,18.0,11.0,16.0
44,105.750123,20.976789,83.0,32.0,189.0,18.0,0.25,293.0,14.0,18.0,12.0,38.0,26.0,19.0,20.0,25.0,18.0
45,105.758901,21.046789,55.0,15.0,113.0,18.0,0.25,121.0,14.0,18.0,16.0,8.0,10.0,10.0,12.0,8.0,10.0
46,105.781234,21.078901,122.0,36.0,257.0,18.0,0.25,408.0,14.0,18.0,13.0,19.0,29.0,33.0,23.0,20.0,30.0
47,105.780123,21.082345,88.0,33.0,260.0,18.0,0.25,157.0,14.0,18.0,22.0,26.0,31.0,20.0,27.0,15.0,21.0
48,105.745678,21.036789,102.0,27.0,187.0,18.0,0.25,341.0,14.0,18.0,19.0,15.0,24.0,16.0,19.0,15.0,15.0
49,105.715678,21.089012,46.0,12.0,80.0,18.0,0.25,202.0,14.0,18.0,4.0,4.0,7.0,6.0,4.0,6.0,9.0
