customer_id,lon,lat,initial_inventory,min_inventory,tank_capacity,lead_time_days,service_time_h,holding_cost_vnd,time_window_start_h,time_window_end_h,demand_day0,demand_day1,demand_day2,demand_day3,demand_day4,demand_day5,demand_day6
0,105.872345,20.998901,38.0,15.0,87.0,18.0,0.25,300.0,14.0,18.0,7.0,12.0,5.0,8.0,9.0,10.0,11.0
1,105.861234,21.004567,108.0,27.0,196.0,18.0,0.25,158.0,14.0,18.0,28.0,20.0,19.0,28.0,21.0,15.0,16.0
2,105.846789,21.001234,153.0,59.0,300.0,12.0,0.25,106.0,8.0,12.0,22.0,33.0,30.0,35.0,25.0,30.0,35.0
3,105.844567,20.99789,96.0,46.0,245.0,18.0,0.25,192.0,14.0,18.0,23.0,29.0,20.0,22.0,22.0,17.0,29.0
4,105.84789,20.984567,76.0,25.0,139.0,18.0,0.25,153.0,14.0,18.0,16.0,18.0,21.0,21.0,22.0,18.0,16.0
5,105.844567,21.006789,141.0,31.0,260.0,18.0,0.25,371.0,14.0,18.0,23.0,14.0,15.0,16.0,18.0,27.0,18.0
6,105.836789,20.984567,68.0,24.0,164.0,18.0,0.25,149.0,14.0,18.0,15.0,24.0,15.0,20.0,12.0,15.0,12.0
7,105.826789,21.006789,31.0,8.0,80.0,18.0,0.25,303.0,14.0,18.0,7.0,10.0,5.0,9.0,8.0,6.0,5.0
8,105.818901,20.994567,72.0,16.0,142.0,18.0,0.25,378.0,14.0,18.0,19.0,15.0,19.0,18.0,29.0,17.0,13.0
9,105.830123,21.028901,56.0,27.0,163.0,18.0,0.25,332.0,14.0,18.0,19.0,19.0,27.0,23.0,20.0,28.0,13.0
10,105.822345,21.018901,57.0,28.0,158.0,18.0,0.25,180.0,14.0,18.0,15.0,14.0,16.0,12.0,22.0,17.0,12.0
11,105.816789,21.012345,25.0,16.0,82.0,12.0,0.25,422.0,8.0,12.0,6.0,8.0,10.0,14.0,18.0,9.0,6.0
12,105.808901,21.012345,43.0,11.0,80.0,18.0,0.25,386.0,14.0,18.0,3.0,5.0,4.0,4.0,4.0,5.0,7.0
13,105.806789,21.002345,59.0,16.0,119.0,18.0,0.25,396.0,14.0,18.0,12.0,11.0,8.0,7.0,10.0,11.0,19.0
14,105.801234,21.035678,48.0,14.0,94.0,18.0,0.25,152.0,14.0,18.0,11.0,14.0,9.0,7.0,8.0,8.0,20.0
15,105.785678,21.041234,43.0,10.0,80.0,18.0,0.25,150.0,14.0,18.0,7.0,12.0,7.0,13.0,11.0,9.0,9.0
16,105.774567,20.966789,51.0,13.0,116.0,18.0,0.25,471.0,14.0,18.0,10.0,14.0,11.0,9.0,8.0,13.0,20.0
17,105.758901,20.992345,48.0,15.0,101.0,12.0,0.25,259.0,8.0,12.0,14.0,13.0,15.0,20.0,14.0,12.0,19.0
18,105.762345,21.034567,102.0,36.0,297.0,18.0,0.25,220.0,14.0,18.0,33.0,45.0,30.0,20.0,19.0,47.0,48.0
19,105.752345,21.064567,28.0,14.0,83.0,18.0,0.25,295.0,14.0,18.0,8.0,8.0,13.0,6.0,7.0,10.0,8.0
